T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
30.9,20.86,20.28,-4.87,-0.09,0.96,0
31.0,20.57,19.07,-273.15,-0.10,0.96,0
31.1,20.28,20.28,-18.58,-0.10,0.96,0
31.2,19.98,19.68,-14.51,-0.10,1.00,0
31.3,20.28,20.28,-273.15,-0.10,0.96,0
31.4,20.28,20.28,-8.22,-0.10,0.96,0
31.5,19.98,20.28,-273.15,-0.08,1.00,0
31.6,20.28,20.28,-25.85,-0.08,0.96,0
31.6,20.28,20.57,-11.13,-0.08,0.96,0
31.7,20.28,20.28,-273.15,-0.08,1.00,0
31.8,20.28,19.38,-8.22,-0.07,0.96,0
31.9,20.28,19.68,-273.15,-0.07,1.00,0
32.0,20.28,20.28,-30.98,-0.08,0.96,0
32.1,20.57,19.98,2.40,-0.07,0.96,0
32.2,20.28,20.28,-14.51,-0.07,0.91,0
32.3,20.57,20.86,-273.15,-0.07,1.00,0
32.4,20.86,20.28,6.09,-0.06,0.96,0
32.5,20.28,20.28,-13.32,-0.05,1.00,0
32.6,20.57,20.57,6.09,-0.06,0.96,0
32.7,20.57,19.98,-273.15,-0.06,1.00,0
32.8,20.57,20.28,-18.58,-0.07,0.96,0
32.8,20.28,20.57,-273.15,-0.06,0.96,0
32.9,20.28,19.98,-273.15,-0.05,0.96,0
33.0,20.57,19.98,5.60,-0.06,0.91,0
33.1,20.86,19.98,-273.15,-0.06,1.00,0
33.2,20.28,19.98,-10.11,-0.06,0.96,0
33.3,20.28,20.28,-273.15,-0.06,0.96,0
33.4,20.57,20.28,-273.15,-0.06,0.96,0
33.5,20.86,19.98,-18.58,-0.05,0.96,0
33.6,19.98,20.57,-273.15,-0.06,0.91,0
33.7,20.28,19.98,-15.78,-0.06,0.96,0
33.8,20.57,19.98,-273.15,-0.07,1.00,0
33.9,20.28,19.68,-273.15,-0.07,0.96,0
34.0,20.57,20.28,-0.63,-0.07,0.96,0
34.0,19.68,19.38,-273.15,-0.07,0.96,0
34.1,19.68,20.57,-18.58,-0.06,0.96,0
34.2,20.28,20.28,-273.15,-0.06,0.96,0
34.3,20.28,20.28,-273.15,-0.06,0.96,0
34.4,20.28,19.98,-2.65,-0.07,1.00,0
34.5,19.98,20.28,-273.15,-0.07,0.96,0
34.6,20.28,20.28,-21.86,-0.06,0.96,0
34.7,20.28,20.28,-6.48,-0.07,0.96,0
34.8,20.28,19.98,-38.36,-0.07,1.00,0
34.9,20.28,20.57,-10.11,-0.07,1.00,0
35.0,20.28,20.28,-273.15,-0.07,0.96,0
35.1,20.57,20.28,-273.15,-0.07,0.96,0
35.1,19.68,18.45,-25.85,-0.07,0.96,0
35.2,20.28,19.68,-273.15,-0.07,0.96,0
35.3,20.28,19.98,-1.28,-0.07,1.00,0
35.4,20.28,20.28,-273.15,-0.07,1.00,0
35.5,20.28,20.28,-18.58,-0.08,0.96,0
35.6,20.28,19.68,7.98,-0.08,0.96,0
35.7,20.57,19.98,-21.86,-0.07,0.96,0
